Size,Breed,CountryOfOrigin,FurColor,MinHeight,MaxHeight,AverageHeight,EyeColor,MinLongevity,MaxLongevity,AverageLongevity,CharacterTraits,CommonHealthProblems
Medium,Irish Terrier,Ireland,Red,14,16,15,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Staffordshire Bull Terrier,England,"White, Black, Red",14,16,15,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Shetland Sheepdog,Scotland,"Sable, Black",13,16,14.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Miniature Shiba Inu,Japan,"Red, Sesame",13,16,14.5,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Bulldog,England,"White, Red",12,16,14,Brown,12,10,11,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Medium,Border Terrier,England,"Red, Wheaten, Black",10,16,13,Brown,12,16,14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Medium,Basenji,Congo,"Red, Black & White",16,17,16.5,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Boston Terrier,United States,"Black, White",15,17,16,Brown,11,13,12,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Medium,Field Spaniel,England,"Black, Liver",15,18,16.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Keeshond,Netherlands,"Black, Cream",17,19,18,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Kerry Blue Terrier,Ireland,Blue,17,19,18,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,American Eskimo Dog,United States,White,15,19,17,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Medium,Shar Pei,China,"Cream, Fawn",18,20,19,Brown,8,12,10,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Medium,Standard Schnauzer,Germany,"Black, Salt & Pepper",18,20,19,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Medium,Australian Stumpy Tail Cattle Dog,Australia,"Red, Black",17,20,18.5,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Medium,Australian Cattle Dog,Australia,"Blue, Red",17,20,18.5,Brown,12,16,14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Medium,Australian Kelpie,Australia,"Red, Black",17,20,18.5,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Medium,Australian Cattle Dog,Australia,"Blue, Red",17,20,18.5,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Medium,Finnish Spitz,Finland,"Red, Golden",15,20,17.5,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Harrier,England,"Red, Black & Tan",18,21,19.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Bull Terrier,England,"White, Red",20,22,21,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Medium,Border Collie,England,"Black, White, Red",18,22,20,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Medium,Whippet,England,"White, Black, Red",18,22,20,Brown,12,15,14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Medium,Standard Poodle,France,"White, Black, Brown, Apricot",15,22,18.5,"Brown, Blue",12,15,14,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
